Log;srcID;lesID
2016-09-29 02:03:48, Info                  CBS    Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM];1;13
2016-09-29 02:03:48, Info                  CBS    Warning: Unrecognized packageExtended attribute.;1;13
2016-09-29 02:03:48, Info                  CBS    Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM];1;13
2016-09-29 02:03:48, Info                  CBS    Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM];1;13
2016-09-29 02:03:48, Info                  CBS    Warning: Unrecognized packageExtended attribute.;1;13
2016-09-29 02:03:48, Info                  CBS    Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM];1;13
2016-09-29 02:03:48, Info                  CBS    Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM];1;13
2016-09-29 02:03:48, Info                  CBS    Warning: Unrecognized packageExtended attribute.;1;13
2016-09-29 02:03:48, Info                  CBS    Warning: Unrecognized packageExtended attribute.;1;13
2016-09-29 02:03:48, Info                  CBS    Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM];1;13
2016-09-29 02:03:48, Info                  CBS    Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM];1;13
2016-09-29 02:03:48, Info                  CBS    Warning: Unrecognized packageExtended attribute.;1;13
2016-09-29 02:03:48, Info                  CBS    Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM];1;13
2016-09-29 02:03:48, Info                  CBS    Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM];1;13
2016-09-29 02:03:48, Info                  CBS    Warning: Unrecognized packageExtended attribute.;1;13
2016-09-29 02:03:48, Info                  CBS    Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM];1;13
2016-09-29 02:03:48, Info                  CBS    Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM];1;13
2016-09-29 02:03:48, Info                  CBS    Warning: Unrecognized packageExtended attribute.;1;13
2016-09-29 02:03:48, Info                  CBS    Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM];1;13
2016-09-29 02:03:48, Info                  CBS    Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM];1;13
2016-09-29 02:03:48, Info                  CBS    Warning: Unrecognized packageExtended attribute.;1;13
2016-09-29 02:03:48, Info                  CBS    Warning: Unrecognized packageExtended attribute.;1;13
2016-09-29 02:03:48, Info                  CBS    Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM];1;13
2016-09-29 02:03:48, Info                  CBS    Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM];1;13
2016-09-29 02:03:48, Info                  CBS    Warning: Unrecognized packageExtended attribute.;1;13
2016-09-29 02:03:48, Info                  CBS    Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM];1;13
2016-09-29 02:03:48, Info                  CBS    Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM];1;13
2016-09-29 02:03:48, Info                  CBS    Warning: Unrecognized packageExtended attribute.;1;13
2016-09-29 02:03:48, Info                  CBS    Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM];1;13
2016-09-29 02:03:48, Info                  CBS    Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM];1;13
2016-09-29 02:03:48, Info                  CBS    Warning: Unrecognized packageExtended attribute.;1;13
2016-09-29 02:03:48, Info                  CBS    Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM];1;13
2016-09-29 02:03:48, Info                  CBS    Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM];1;13
2016-09-29 02:03:48, Info                  CBS    Warning: Unrecognized packageExtended attribute.;1;13
2016-09-29 02:03:48, Info                  CBS    Warning: Unrecognized packageExtended attribute.;1;13
2016-09-29 02:03:48, Info                  CBS    Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM];1;13
2016-09-29 02:03:48, Info                  CBS    Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM];1;13
2016-09-29 02:03:48, Info                  CBS    Warning: Unrecognized packageExtended attribute.;1;13
2016-09-29 02:03:48, Info                  CBS    Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM];1;13
2016-09-29 02:03:48, Info                  CBS    Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM];1;13
2016-09-29 02:03:48, Info                  CBS    Warning: Unrecognized packageExtended attribute.;1;13
2016-09-29 02:03:48, Info                  CBS    Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM];1;13
2016-09-29 02:03:48, Info                  CBS    Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM];1;13
2016-09-29 02:03:48, Info                  CBS    Warning: Unrecognized packageExtended attribute.;1;13
2016-09-29 02:03:48, Info                  CBS    Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM];1;13
2016-09-29 02:03:48, Info                  CBS    Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM];1;13
2016-09-29 02:03:48, Info                  CBS    Warning: Unrecognized packageExtended attribute.;1;13
2016-09-29 02:03:48, Info                  CBS    Warning: Unrecognized packageExtended attribute.;1;13
2016-09-29 02:03:48, Info                  CBS    Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM];1;13
2016-09-29 02:03:48, Info                  CBS    Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM];1;13
2016-09-29 02:03:48, Info                  CBS    Warning: Unrecognized packageExtended attribute.;1;13
2016-09-29 02:03:48, Info                  CBS    Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM];1;13
2016-09-29 02:03:48, Info                  CBS    Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM];1;13
2016-09-29 02:03:48, Info                  CBS    Warning: Unrecognized packageExtended attribute.;1;13
2016-09-29 02:03:48, Info                  CBS    Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM];1;13
2016-09-29 02:03:48, Info                  CBS    Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM];1;13
2016-09-29 02:03:48, Info                  CBS    Warning: Unrecognized packageExtended attribute.;1;13
2016-09-29 02:03:48, Info                  CBS    Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM];1;13
2016-09-29 02:03:48, Info                  CBS    Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM];1;13
2016-09-29 02:03:48, Info                  CBS    Warning: Unrecognized packageExtended attribute.;1;13
2016-09-29 02:03:48, Info                  CBS    Warning: Unrecognized packageExtended attribute.;1;13
2016-09-29 02:03:48, Info                  CBS    Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM];1;13
2016-09-29 02:03:48, Info                  CBS    Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM];1;13
2016-09-29 02:03:48, Info                  CBS    Warning: Unrecognized packageExtended attribute.;1;13
2016-09-29 02:03:48, Info                  CBS    Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM];1;13
2016-09-29 02:03:48, Info                  CBS    Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM];1;13
2016-09-29 02:03:48, Info                  CBS    Warning: Unrecognized packageExtended attribute.;1;13
2016-09-29 02:03:48, Info                  CBS    Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM];1;13
2016-09-29 02:03:48, Info                  CBS    Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM];1;13
2016-09-29 02:03:48, Info                  CBS    Warning: Unrecognized packageExtended attribute.;1;13
2016-09-29 02:03:48, Info                  CBS    Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM];1;13
2016-09-29 02:03:48, Info                  CBS    Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM];1;13
2016-09-29 02:03:48, Info                  CBS    Warning: Unrecognized packageExtended attribute.;1;13
2016-09-29 02:03:49, Info                  CBS    Session: 30546354_2850645228 initialized by client WindowsUpdateAgent.;1;13
2016-09-29 02:03:49, Info                  CBS    Failed to internally open package. [HRESULT = 0x800f0805 - CBS_E_INVALID_PACKAGE];1;13
2016-09-29 02:03:49, Info                  CBS    Session: 30546354_2850655229 initialized by client WindowsUpdateAgent.;1;13
2016-09-29 02:03:49, Info                  CBS    Failed to internally open package. [HRESULT = 0x800f0805 - CBS_E_INVALID_PACKAGE];1;13
2016-09-29 02:03:49, Info                  CBS    Session: 30546354_2850665229 initialized by client WindowsUpdateAgent.;1;13
2016-09-29 02:03:49, Info                  CBS    Failed to internally open package. [HRESULT = 0x800f0805 - CBS_E_INVALID_PACKAGE];1;13
2016-09-29 02:03:49, Info                  CBS    Session: 30546354_2850685230 initialized by client WindowsUpdateAgent.;1;13
